Next particle
x(m)	y(m)	z(m)	Energy (GeV)
6.36804	6.54721	-3.28
6.36804	6.54721	-3.27
7.1689	7.39573	-3.75
0.801865	0.753002	6.73556e-17	0.0125378
0.82009	0.770115	6.88864e-17	0.0125378
0.838314	0.787229	7.04172e-17	0.0125378
0.856538	0.804343	7.1948e-17	0.0125378
0.874762	0.821457	7.34788e-17	0.0125378
0.892987	0.83857	7.50096e-17	0.0125378
0.911211	0.855684	7.65404e-17	0.0125378
0.929435	0.872798	7.80712e-17	0.0125378
0.947659	0.889911	7.9602e-17	0.0125378
0.965883	0.907025	8.11329e-17	0.0125378
0.984108	0.924139	8.26637e-17	0.0125378
1.00233	0.941252	8.41945e-17	0.0125378
1.02056	0.958366	-0.323552	0.00750262
1.02056	0.958366	8.57253e-17	0.00503522
1.03878	0.97548	-0.327008	0.0125378
1.057	0.992593	-0.330446	0.0125378
1.07523	1.00971	-0.333867	0.0125378
1.09345	1.02682	-0.337272	0.0125379
1.11168	1.04393	-0.340661	0.0125379
1.1299	1.06105	-0.344034	0.0125378
1.14813	1.07816	-0.347394	0.0125379
1.16635	1.09528	-0.350739	0.0125379
1.18457	1.11239	-0.354071	0.0125378
1.2028	1.1295	-0.35739	0.0125379
1.22102	1.14662	-0.360696	0.0125379
1.23925	1.16373	-0.363991	0.0125379
1.25747	1.18084	-0.367274	0.0125379
1.31214	1.23218	-0.372905	0.00311785
1.34859	1.26641	-0.37813	0.00311785
1.38504	1.30064	-0.383294	0.00311786
1.42149	1.33487	-0.3884	0.00311786
1.45794	1.36909	-0.393453	0.00311786
1.49439	1.40332	-0.398455	0.00311787
1.53083	1.43755	-0.40341	0.00311787
1.56728	1.47178	-0.408321	0.00311788
1.60373	1.506	-0.413189	0.00311787
1.64018	1.54023	-0.418018	0.00311787
1.67663	1.57446	-0.422809	0.00311789
1.71308	1.60869	-0.427565	0.00311788
1.74952	1.64291	-0.432287	0.0031179
1.78597	1.67714	-0.436978	0.00311789
1.82242	1.71137	-0.441639	0.00311789
1.85887	1.7456	-0.446272	0.00311791
1.89532	1.77982	-0.450877	0.0031179
1.93177	1.81405	-0.455458	0.00311791
1.96822	1.84828	-0.460014	0.0031179
2.00466	1.8825	-0.903316	0.00106292
2.00466	1.8825	-0.464547	0.00205498
2.04111	1.91673	-0.912507	0.00311793
2.07756	1.95096	-0.92165	0.00311791
